Numer VIN,Model,Rok produkcji,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Stan techniczny,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Lokalizacja,Województwo,Tytuł,Rodzaj ogłoszenia,Znalezione o,Link,ID,Producent,Opis,Czy cena do negocjacji
,Qashqai+2,2012,Diesel,SUV,189000,Czarny,1600.0,Uszkodzony,Manualna,,,4x4 (dołączany ręcznie),,22000.0,Sępólno Krajeńskie,Kujawsko-pomorskie,Nissan Qashqai +2,Prywatne,2025-04-19 18:20:26.440063,https://www.olx.pl/d/oferta/nissan-qashqai-2-CID5-ID15pcxH.html,996020929,Nissan,Nissan qashqai +2 2012r 4x4. do naprawy klapa bagarznika zdeżak przód. Abs.Esp.kontrola trakcji.Podgrzewane fotele.tempomat.Szklany dach.Skóra.Kamery 360****************** 5. 1. 9.,True
WAUZZZ4BZWN152375,A6,1998,LPG,Sedan,240000,Niebieski,2393.0,Nieuszkodzony,Manualna,Polska,,Na przednie koła,po lewej,5500.0,Kielce,Świętokrzyskie,Audi A6 C5 2.4 V6 Benzyna + LPG,Prywatne,2025-04-20 13:09:36.076274,https://www.olx.pl/d/oferta/audi-a6-c5-2-4-v6-benzyna-lpg-CID5-ID14frml.html,978918269,Audi,"Przedmiotem aukcji jest AUDI A6 C5 2.4 V6 z 1998 roku. Samochód z ciekawą konfiguracją (niebieskie skóry, niebieskie pasy, elektryczna roletka tylnej szyby) z zainstalowaną instalacją gazową.
W ostatnim czasie naprawiany w samochodzie był alternator. Miska olejowa razem z olejem wymieniana 25.06.2024. Pojazd na co dzień nie sprawia żadnych problemów w jeździe.
Przebieg autentyczny (trochę ponad 240000km) - można sprawdzić po Vinie. Jestem w kolejności czwartym właścicielem w Polsce. Przegląd ważny do 05.04.2024
Więcej informacji odnośnie samego stanu samochodu dam w prywatnej wiadomości.
Sprzedaję, ponieważ kupiłem inne auto.",True
,Punto Evo,2010,Benzyna,Sedan,136965,Czarny,1368.0,Nieuszkodzony,Manualna,,,Na przednie koła,po lewej,13900.0,Tereszpol-Zygmunty,Lubelskie,Fiat Punto Evo 1.4,Prywatne,2025-04-20 13:09:47.624623,https://www.olx.pl/d/oferta/fiat-punto-evo-1-4-CID5-ID15i3ST.html,994319351,Fiat,"Dzień dobry, do zaoferowania posiadam Fiata Punto Evo 1.4 benzyna z niskim oryginalnym przebiegiem 136965 km. Auto na codzień było użytkowane przez kobietę, w środku nigdy nie było palone. Auto nie wymaga wkładu finansowego. W ostatnim czasie wymienione zostały:
Rozrząd, świece zapłonowe,olej. W zestawie są 2 komplety kół czyli lato i zima. Więcej informacji mogę udzielić telefonicznie. Pozdrawiam.",True
JSAJTD44V00543743,Grand Vitara,2010,Diesel,SUV,205795,Czarny,1870.0,Nieuszkodzony,Manualna,Polska,,4x4 (stały),po lewej,25000.0,Jelcz-Laskowice,Dolnośląskie,Suzuki Grand Vitara,Prywatne,2025-04-20 13:09:51.346349,https://www.olx.pl/d/oferta/suzuki-grand-vitara-CID5-ID15ryoA.html,996581588,Suzuki,"SPRZEDAM
SUZUKI GRAND VITARA
rok produkcji: 2010
diesel, skrzynia biegów manualna
pojemność silnika 1870 cm3, moc 95 kW
przebieg 205 795 km
komplet kół zimowych i letnich
pierwszy właściciel

cena 25 000 zł
tel. 60*******65",False
,X1,2014,Diesel,SUV,187000,Biały,1995.0,Nieuszkodzony,Manualna,,,4x4 (dołączany automatycznie),,42000.0,Lublin,Lubelskie,BMW X1 XDRIVE DIESEL 2.0 . 2014r.XII. Białą perła,Prywatne,2025-04-20 13:10:00.553703,https://www.olx.pl/d/oferta/bmw-x1-xdrive-diesel-2-0-2014r-xii-biala-perla-CID5-ID15hahO.html,994105632,BMW,Witam. Do sprzedania sliczne BMW X1 X DRIVE 18D Biala perla. Diesel 2014.XII. Stan perfekcyjny + komplet opon letnich. Polecam więcej informacji na felefon. 606. -624.- *037,False
,Doblo,2018,Benzyna,Minivan,112000,Biały,1400.0,Nieuszkodzony,Manualna,Polska,,,,43900.0,Gołaczewy Kol. Chełmska,Małopolskie,Fiat Doblo Berlingo Combo Salon PL I właściciel Bezwypadkowy bdb stan,Prywatne,2025-04-20 13:10:14.654851,https://www.olx.pl/d/oferta/fiat-doblo-berlingo-combo-salon-pl-i-wlasciciel-bezwypadkowy-bdb-stan-CID5-ID15h929.html,994100817,Fiat,"Witam.
Do sprzedania posiadam samochód osobowy Fiat Doblo wyprodukowany w 2018 roku, wyposażony w niezawodny silnik benzynowy 1.4 L.
Samochód pochodzi z Polskiego salonu i od nowości użytkowany przez jednego właściciela. Do dnia dzisiejszego przejechał zaledwie 112 tys km potwierdzone książką serwisową i wykonywanymi serwisami.
Samochód bezwypadkowy utrzymany w bardzo dobrym stanie technicznym i wizualnym co przedstawiają zamieszczone zdjęcia.
Fiat na bieżąco serwisowany, na chwilę obecna nie wymaga dodatkowego wkładu finansowego.
Więcej informacji udzielę pod numerem:
66*******41 lub 66*******51
Na samochód wystawiam fakturę VAT.",True
JMZBL14Y201108067,3,2009,Diesel,Hatchback,148002,Niebieski,,Nieuszkodzony,Manualna,Niemcy,109.0,Na przednie koła,po lewej,11500.0,Bydgoszcz,Kujawsko-pomorskie,"Mazda 3 1,6 diesel oryginalny przebieg tylko 148000 km stan super",Prywatne,2025-04-20 13:10:17.795961,https://www.olx.pl/d/oferta/mazda-3-1-6-diesel-oryginalny-przebieg-tylko-148000-km-stan-super-CID5-ID15oQqQ.html,995935936,Mazda,"Sprzedam samochód osobowy marki Mazda 3 model BL wyposażony w bardzo oszczędny i rewelacyjny silnik 1,6 diesel. Bardzo dobrze wyposażony. Posiada między innymi
- elektrycznie składane lusterka
- wspomaganie kierownicy
- elektryczne wszystkie szyby
-radio CD z możliwością sterowania z kierownicy
- klimatyzacja
- alufelgi aluminiowe
- możliwość składania tylnych foteli częściowo a nie cała kanapa
Niedawno wymieniony rozrząd w samochodzie oraz wymieniony nowy alternator
Bardzo ładny kolor niebieski o symbolu38K
Przegląd techniczny ważny jeszcze do pażdziernika 2025 a ubezpieczenie OC też ważne bardzo
długo.
Pojazd nie zawodny i co najważniejsze nie wymaga żadnego wkładu finansowego.
Jeśli szukasz fajnego, niezawodnego i bardzo ekonomicznego autka japońskiego to własnie je znalazłeś. Zapraszam do kontaktu.",False
,S3,2007,Benzyna,Hatchback,263000,Czarny,,Nieuszkodzony,Manualna,,300.0,4x4 (dołączany ręcznie),,35000.0,Niegardów,Małopolskie,Audi S3 8P BHZ Doinwestowane Polecam,Prywatne,2025-04-20 13:10:19.938892,https://www.olx.pl/d/oferta/audi-s3-8p-bhz-doinwestowane-polecam-CID5-ID15ryUJ.html,996583581,Audi,"Witam na sprzedaż posiadam moje prywatne auto s3 w moich rękach prawie 5 Lat wszystko robione na bierząco olej wymieniany co 6 tys km starałem się bardzo dbać o ten samochód jak to się mówi jak dbasz tak masz audi posiada moc 300km
-Bixenon skrętny
-Nagłośnienie Bose
-gwint AP
-Turbo hybryda K04-064
-Dolot Ramair
- Większy intercooler
- Wymienione wtryski
-Cewki Czerwone
-Usunięta wada olejowa występująca w silnikach BHZ
-Wkład Pompy VisMotosport
-Wydech 3”5 cala
-Klocki tarcze przód tył wymienione w tamtym roku
-Rozrząd przód tył wymieniony w tamtym roku
-Sprzęgło obite kevlarem
-Korekta lakieru plus polerka
Alufelgi od Rs4 18 plus zima org Audi 17
Samochód sprzedaje ponieważ przesiadam się na coś młodszego i mocniejszego zapraszam do kontaktu i jazdy próbnej świetny dźwięk jaki przyspieszenie!",False
,A Klasa,2015,Diesel,Hatchback,282515,Srebrny,1500.0,Nieuszkodzony,Manualna,,,,po lewej,46000.0,Toruń,Kujawsko-pomorskie,Mercedes-Benz A 180CDI,Prywatne,2025-04-20 13:10:27.079479,https://www.olx.pl/d/oferta/mercedes-benz-a-180cdi-CID5-ID15h4Ty.html,994084908,Mercedes-Benz,"Mercedes-Benz A 180 CDI | 2015 | Diesel | Zadbany | Gotowy do jazdy

Na sprzedaż Mercedes-Benz A 180 z niezawodnym i oszczędnym silnikiem diesla o pojemności 1.5 (CDI). Samochód pochodzi z 2015 roku, jest w bardzo dobrym stanie technicznym i wizualnym – zadbany.
Dane techniczne:
• Rok produkcji: 2015
• Silnik: 1.5 Diesel (CDI)
• Przebieg: 282515
• Skrzynia biegów: manualna
• Kolor: srebrny
• Zarejestrowany w Polsce

Wyposażenie:
• Klimatyzacja
• Tempomat
• System START/STOP
• Wielofunkcyjna kierownica
• Czujniki parkowania przód/tył
• Systemy bezpieczeństwa: ABS, ESP, poduszki powietrzne
• Komputer pokładowy
• Radio + Bluetooth
• Alufelgi
• Elektryczne szyby i lusterka
• LED / Xenon
• i wiele innych.

Cena: 49000– do rozsądnej negocjacji.

Zapraszam do kontaktu i na jazdę próbną!
8 8 0 - 2 6 6 - 3 7 2",True
,Crossline,2007,Diesel,Hatchback,64000,Srebrny,505.0,Nieuszkodzony,Automatyczna,,5.0,,,14900.0,Wola Kamocka,Łódzkie,Aixam Ligier Microcar Transport Okazja Polecam,Prywatne,2025-04-20 13:10:30.068132,https://www.olx.pl/d/oferta/aixam-ligier-microcar-transport-okazja-polecam-CID5-ID154Gfo.html,991130226,Aixam,"Autko dobrze utrzymane pod względem technicznym jak i wizualnym Nadwozie ,jak widać na zdjęciach bardzo ładne pomimo swojego wieku nadal atrakcyjnie wyglada i super sie prezentuje. .Nie posiada żadnych pęknięć ani rys..Środek auta czyściutki pachnący nigdy nie były palone papierosy.Silnik ładnie zapala i rowno pracuje najlepszy i najcichszy w tych pojazdach.Jest to dużo nowsza generacja przez co autko bardzo cicho pracuje.Pojazd szybki zrywany.Auto po przeglądzie nie wymaga żadnego wkładu finansowego.Na życzenie mogę wylać więcej zdjęć lub zrobić nagrać filmik.kupujący zwolniony z opłaty skarbowej.Cena bardzo atrakcyjna .Zapraszam osoby zainteresowane do zakupu bo naprawdę warto.Mozna auto zamówić telefonicznie pod sam dom.
Gdy nie odbieram proszę sie nie denerwować tylko wysłać SMS a napewno oddzwonię
Kupujacy zwolniony z opłaty skarbowej.

Nota prawna
Niniejsze ogłoszenie nie jest i nie może stanowić podstawy do dochodzenia roszczeń w rozumieniu przepisów ustawy z dnia 27 lipca 2002 r. o szczególnych warunkach sprzedaży konsumenckiej oraz o zmianie KC (Dz. U. Nr 141, poz. 1176 z zm.), oraz nie stanowi oferty w rozumieniu przepisów ustawy z dnia 23 kwietnia 1964 r. KC (Dz. U. Nr 16, poz. 93 z zm.)",True
,Seria 3,1998,Benzyna,Hatchback,250000,Inny kolor,,Nieuszkodzony,Manualna,Niemcy,,,po lewej,9900.0,Chrosna,Małopolskie,"BMW e36 compact (drift, gruz)",Prywatne,2025-04-20 13:10:36.785254,https://www.olx.pl/d/oferta/bmw-e36-compact-drift-gruz-CID5-ID15oSlP.html,995943313,BMW,"Cześć!
Sprzedam BMW e36 compact 323TI. Samochód przebudowany do driftu między innymi posiada:
- silnik m52b25 (zgodny z vin)
- adapter skrętu odesa CNC
- gwint przód ( na wykonczeniu )
- amory tył MTS ( nowe ) sprężyny beton
- hydrołapa na osobnych zaciskach
- 2 × kubełek ( marka nieznana )
- platformy wraz z mocowaniami bocznymi (Swagier)
- pasy bezpieczeństwa (Slide)
- klatka pełna (skrecana)
- dyfer spaw, przełożenie 3,38
- spoiler GT klasa
- felony tył
- shifter Odessa
- bashbar przód
- relokator amortyzatora M3 Odessa
- wisko plus elektryk z hebla

Gruz podaje bez problemów, stan budy (gruz)
Przeglądu braku OC do końca maja.
Więcej info pod podanym niżej nr. Tel
Zapraszam do kontaktu.",False
,C Klasa,2017,Benzyna,Kombi,190000,Czarny,1600.0,Nieuszkodzony,Automatyczna,,,,po lewej,67000.0,Zamość,Lubelskie,Mercedes Benz Klasa C 2017r.,Prywatne,2025-04-20 13:10:42.143811,https://www.olx.pl/d/oferta/mercedes-benz-klasa-c-2017r-CID5-ID15pHbj.html,996138705,Mercedes-Benz,"Witam,
Posiadam na sprzedaż Mercedesa klasy C z 2017 roku z silnikiem benzynowym 1.6.
Auto nie wymaga wkładu finansowego jest gotowe do jazdy.
Z wyposażenia:
- automatyczna skrzynia biegów
- el.klapa bagażnika
- ksenonowe lampy przód z tyłu led
- skórzana tapicerka
- podgrzewane fotele
- ambient light

Więcej informacji udzielę telefonicznie
Nie odpisuje na wiadomości SMS
Nr.tel.: 6..6..2..6…0…7…7…0…3",False
,CLA,2016,Diesel,Sedan,219000,Srebrny,1500.0,Nieuszkodzony,Automatyczna,,,,po lewej,67000.0,Zamość,Lubelskie,Mercedes Benz CLA 2016 ROK,Prywatne,2025-04-20 13:10:45.577548,https://www.olx.pl/d/oferta/mercedes-benz-cla-2016-rok-CID5-ID15pGUt.html,996137661,Mercedes-Benz,"Witam,
Posiadam na sprzedaż pięknego Mercedesa CLA z 2016 roku z ekonomicznym silnikiem 1.5.

Auto w pełni sprawne i gotowe do jazdy.
W ostatnim czasie został zmieniony rozrząd.
Samochód w wyposażeniu posiada:
- czujniki parkowania przód,tył
- ksenonowe lampy przód oraz ledowe lampy tył
- podgrzewane fotele
- automatyczna skrzynia biegów

Więcej informacji na temat auta udzielę telefonicznie
Nie odpisuje na wiadomości SMS
Nr.tel.: 6..6..2..6..0..7…7…0…3",False
,Seria 5,2003,Benzyna,Sedan,330000,Srebrny,2200.0,Nieuszkodzony,Manualna,,,,po lewej,12500.0,Kraków Prądnik Biały,Małopolskie,BMW E60 520i 2.2 Benzyna,Firmowe,2025-04-20 13:10:50.895962,https://www.olx.pl/d/oferta/bmw-e60-520i-2-2-benzyna-CID5-ID154FOI.html,991128572,BMW,"Witam, posiadam do sprzedania BMW E60 520i z silnikiem 2.2 Benzyna. Auto pochodzi z 2003r produkcji. Silnik pali za pierwszym razem, ma moc. Skrzynia 6 biegowa, sprzęgło działają jak należy. Zawieszenie nie wybite. Wizualnie jak na zdjęciach.

Wyposażenie:
Elektryczne szyby
Elektryczne lusterka
Podgrzewane skórzane fotele
Kierownica wielofunkcyjna
Radio
Klimatronik
Czujniki cofania
Xenony
Zamek centralny z pilotem
Wspomaganie kierownicy
Alufelgi
Halogeny

Przebieg 330 tys. km.

Do samochodu komplet dokumentów

OC 27.04.25
PT 22.03.26

Cena 12500 zł do negocjacji przy aucie

Kupujący zwolniony z opłaty skarbowej 2%

Możliwość pozostawienia auta w rozliczeniu

Skupujemy auta wszystkich marek w każdym stanie

Zapraszam do obejrzenia i jazdy próbnej w Krakowie!",True
,Yaris,2021,Benzyna,Hatchback,290,Czarny,,Nieuszkodzony,Automatyczna,Polska,,Na przednie koła,,49999.0,Gdańsk Żabianka - Wejhera - Jelitkowo - Tysiąclecia,Pomorskie,"Toyota yaris 4, 1.5 benzyna serwisowa w aso , salon polska",Prywatne,2025-04-20 20:26:37.968999,https://www.olx.pl/d/oferta/toyota-yaris-4-1-5-benzyna-serwisowa-w-aso-salon-polska-CID5-ID15iGdT.html,994466725,Toyota,"Witam , mam do sprzedania super małe tanie w utrzymaniu auto jakim jest toyota yaris 4 generacji, posiada automatyczna skrzynie biegów , silnik o pojemności 1.5 benzyna bez lpg. Zainteresowanych zapraszam do kontaktu telefoniczny. Pozdrawiam",True
,Astra,2004,Benzyna,Hatchback,237000,Niebieski,1400.0,Nieuszkodzony,Manualna,,,Na przednie koła,po lewej,4900.0,Bystra,Śląskie,"Sprzedam Opla Astre 1,4 ben , klima, nowy przeglad",Prywatne,2025-04-20 20:26:46.670149,https://www.olx.pl/d/oferta/sprzedam-opla-astre-1-4-ben-klima-nowy-przeglad-CID5-ID15nw6T.html,995615647,Opel,"Na sprzedaż Opel Astra z niezawodnym silnikiem 1.4 benzyna.
Auto z 2004 roku, 4-drzwiowe, kolor granatowy.
Stan techniczny bardzo dobry – świeżo po przeglądzie, ważne OC do końca roku.
Samochód posiada normalne ślady użytkowania, adekwatne do wieku.

Wyposażenie:
• Klimatyzacja
• Wspomaganie kierownicy
• Radio
• Centralny zamek
• Elektryczne szyby

Auto ekonomiczne, idealne do jazdy po mieście i na dłuższe trasy.
Cena: 4900 zł – do rozsądnej negocjacji.

Więcej informacji telefonicznie – zapraszam do kontaktu i oględzin!",True
,Discovery,2001,Diesel,SUV,244026,Zielony,,Nieuszkodzony,Automatyczna,,139.0,,po lewej,29999.0,Świecie,Kujawsko-pomorskie,Land Rover Discovery OFF ROAD,Prywatne,2025-04-20 20:26:48.121693,https://www.olx.pl/d/oferta/land-rover-discovery-off-road-CID5-ID15rSt4.html,996658746,Land Rover,"Land Rover - Discovery w profesjonalnej zabudowie OFF ROAD, sprężyny, amortyzatory, blokady, instalacja wodna, elektryczna z możliwością podpięcia do słupka, skrzynia automat ze skrzynią redukcyjną, mocna wciągarka, sprawny, jeżdżący, od 2023 praktyczne nieużytkowany, rama zdrowa, do wymiany progi nadwozia - proste każdy blacharz opanuje bez problemu. Zmieniła się koncepcja podróżowania - jest kamper, więc auto stoi- ktoś może się jeszcze długo pocieszyć. Bezawaryjna jednostka 2,5 Tdi o mocy 102KW, bardzo dobrze sobie radzi w terenie. Skóry. na wyposażeniu duża profesjonalna lodówka 12/230V, można też podłączyć gaz.",False
WAUZZZ8P3BA041123,A3,2010,Benzyna,Hatchback,255,Niebieski,1400.0,Uszkodzony,Manualna,Niemcy,125.0,Na przednie koła,po lewej,9900.0,Goleniów,Zachodniopomorskie,Sprzedam Audi a3,Prywatne,2025-04-20 20:26:53.929739,https://www.olx.pl/d/oferta/sprzedam-audi-a3-CID5-ID15rXpd.html,996677727,Audi,"Sprzedam Audi a3 8p 1.4 tfsi 3 drzwiowa

Pełna elektryka ,tempomat,climatronic ,podgrzewane fotele przednie,podgrzewane lusterka,światła xenonowe,led do jazdy dziennej . Jasne wnętrze . Nowe opony wielosezonowe lewa przednia do wymiany ze względu na pęknięcie boczne. Świeżo po serwisie wszystkich filtrów i Oleju, miesiąc temu wymienione amortyzatory ze sprężynami przednimi.
W zeszłym roku wymieniony kompletny rozrząd pompa wody koła zębate łancuch nowego typu z napędem pompy oleju fazatory i ślizgi wszystko z oryginału faktury . Auto pali , jeździ. Zadbane . Sprzedaję z powodu uszkodzeń blacharskich lewa strona . Pierwszy właściciel w kraju.
Tel. Kontaktowy 88*******28",False
YV4A22PKXH1157068,XC 90,2016,Benzyna,SUV,124000,Niebieski,,Nieuszkodzony,Automatyczna,,320.0,,po lewej,126000.0,Białystok Białostoczek,Podlaskie,Volvo XC 90 II T6 Bowers & Wilkins AWD,Prywatne,2025-04-20 20:26:59.700171,https://www.olx.pl/d/oferta/volvo-xc-90-ii-t6-bowers-wilkins-awd-CID5-ID15iwKp.html,994426457,Volvo,"Na sprzedaż posiadam Volvo XC90 II generacja z roku 2016.12. 7 osobowe
Pierwsza rejestracja 2017.07
Silnik 2.0 AWD benzyna T6 320 koni mechanicznych, skrzynia automatyczna
Posiadam oryginalne dwa kluczyki do tego auta. Rozrząd został wymieniony mam FV przebieg auta to 124 tyś. i ciągle się zmienia jest w ciągłej eksploatacji.
Pierwsza rejestracja auta miała miejsce 2017.07.
Auto bogato wyposażone miedzy innymi:
- Skórzana tapicerka, Gałka zmiany biegów oraz kierownica obszyta skórą, pamięć foteli oraz możliwość zaprogramowania kluczyka pod użytkownika.
- 20calowe felgi, Homelink, unikalny kolor magic blue
-System nagłośnienia Premium Bower & Wilkins, panoramiczny dach ,4 strefowa klimatyzacja nawet w 3 rzędzie, System bez kluczykowy
-Asystent parkowania, unikanie kolizji w mieście, aktywny tempomat, asystent pasa ruchu (zapobiega niekontrolowanej zmianie pasa ruchu) czytanie znaków, isofix, czujnik deszczu, lampy full led oczywiście skrętne, apple carplay, android auto, nawigacja, sterowanie systemem z kierownicy, AUX,CD,USB, oryginalny hak holowniczy (elektrycznie chowany)

Jest to fajne duże auto które świetnie nadaje się dla rodziny oraz wypady poza miasto, ale również sprawdzi się jako auto biznesowe w końcu jest to klasa premium.

Nie jestem handlarzem tylko osobą prywatna nie zamieniam się na inne auto.
Po więcej informacji proszę dzwonić chętnie odpowiem na wszelkie pytania.
VIN jest do wglądu nie mam nic do ukrycia.
Proszę nie pisać SMS bo nie odpowiadam na wiadomości, przy takiej kwocie za auto rozmowa telefoniczna raczej jest wskazana.
Zapraszam do kontaktu.",False
,RX,2017,Benzyna,SUV,130000,Inny kolor,2000.0,Nieuszkodzony,Automatyczna,Polska,,4x4 (stały),po lewej,111000.0,Kraków Zwierzyniec,Małopolskie,"Lexus 200t oryginalny lakier, niski przebieg",Prywatne,2025-04-20 20:27:09.002155,https://www.olx.pl/d/oferta/lexus-200t-oryginalny-lakier-niski-przebieg-CID5-ID15ipPk.html,994403698,Lexus,"Lexus 200t stan idealny. oryginalny lakier. niski przebieg. kupiony w salonie na Alei Pokoju. Dostępny jest również serwis i rozszerzona gwarancja. Cichy, mocny, spalanie w mieście wynosi 10-11 litrów.
733dwadwa5079",True
,208,2016,Benzyna,Hatchback,70000,Niebieski,1200.0,Nieuszkodzony,Manualna,,,,po lewej,26900.0,Płock,Mazowieckie,"Peugeot 208, 70tyś! km, benzyna, 2016 rok",Prywatne,2025-04-20 20:27:10.306584,https://www.olx.pl/d/oferta/peugeot-208-70tys-km-benzyna-2016-rok-CID5-ID15phup.html,996039945,Peugeot,"Sprzedam ładnego i zadbanego Peugeota 208 z silnikiem 1.2 benzyna. Bardzo niski, oryginalny przebieg 70tys km. Jeżdże nim na codzien od 7 lat. Gdy go zakupilam mial przebieg równy niespelna 23tyś.km. Jest w bardzo dobrym stanie technicznym i nie wymaga wkładu finansowego. Mało pali i idealnie nadaje się do jazdy miejskiej.

Wyposażenie:
ABS
ESP
wspomaganie kierownicy
centralny zamek
immobilajzer
tempomat
komputer pokładowy
elektryczne szyby przód
fabryczne radio sterowane z kierownicy
Nawigacja
Klimatyzacja
Czujniki parkowania
Opony wielosezonowe!

Zapraszam na oględziny ;)",False
WH0HXXGCBHFD81416,C-MAX,2015,Diesel,Minivan,115245,Czarny,1.0,Nieuszkodzony,Manualna,Polska,115.0,,po lewej,34000.0,Chełmsko,Lubuskie,"Ford Grand C-Max 1,6",Prywatne,2025-04-20 20:27:13.374181,https://www.olx.pl/d/oferta/ford-grand-c-max-1-6-CID5-ID15imqv.html,994390628,Ford,"Do sprzedania Ford Grand C-Max 1,6 115 Przebieg 115245 km.Wymieniony rozrząd przy przebiegu 106700 km.Olej i wszystkie filtry przy przebiegu 113400km.Auto jest siedmioosobowe i posiada hak nieużywany.Stan techniczny i wizualny bardzo dobry.Nie wymaga żadnego wkładu , tankować i jeździć .System start- stop",True
